# Evaluation: 700
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
EP=0.01697663168832489 NHV=0.007616287522635308 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking

# Evaluation: 750
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
EP=0.01697663168832489 NHV=0.007616287522635308 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking

# Evaluation: 800
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
EP=0.01697663168832489 NHV=0.007616287522635308 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking

# Evaluation: 850
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
EP=0.01697663168832489 NHV=0.007616287522635308 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking

# Evaluation: 900
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
EP=0.01697663168832489 NHV=0.007616287522635308 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking

# Evaluation: 950
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
EP=0.01697663168832489 NHV=0.007616287522635308 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6059540712211302 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9729426341811974 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking

# Evaluation: 1000
EP=0.0143213888043077 NHV=0.008106135282707634 | --algorithmResult externalArchive --populationSizeWithArchive 119 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5691178163164285 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.9070423606134173 --selection ranking
EP=0.014380153641614305 NHV=0.007619179856922683 | --algorithmResult externalArchive --populationSizeWithArchive 106 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.6637383686315927 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9741460582979082 --blxAlphaBetaCrossoverAlpha 0.8546750419045327 --mutation levyFlight --mutationProbabilityFactor 1.0242750295238174 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.129075643312041 --levyFlightMutationStepSize 0.8853099252920169 --selection tournament --selectionTournamentSize 8
